# time(s),voltage(V),current(A),cycle_num,exp_num,voltage_applied(V)
1047563.704920,-0.386236,0.000004783,0,0,-0.378962
1050063.856960,-0.385611,-0.000001312,0,0,-0.379363
1052564.009001,-0.385336,0.000000117,0,0,-0.379764
1055064.161041,-0.386069,0.000002137,0,0,-0.380165
1057564.313082,-0.385275,0.000000856,0,0,-0.380566
1060064.465122,-0.387671,-0.000001608,0,0,-0.380966
1062564.617162,-0.387808,-0.000000228,0,0,-0.381367
1065064.769203,-0.388266,0.000004083,0,0,-0.381768
1067564.921243,-0.387534,0.000000442,0,0,-0.382169
1070065.073283,-0.387884,-0.000002129,0,0,-0.382569
1072565.225324,-0.387915,-0.000000447,0,0,-0.382970
1075065.377364,-0.388098,0.000002314,0,0,-0.383371
1077565.529405,-0.389990,0.000000105,0,0,-0.383772
1080065.681445,-0.391608,0.000002677,0,0,-0.384173
1082565.833485,-0.390433,-0.000001960,0,0,-0.384573
1085065.985526,-0.390891,-0.000002758,0,0,-0.384974
1087566.137566,-0.390601,0.000000535,0,0,-0.385375
1090066.289607,-0.391592,0.000004796,0,0,-0.385776
1092566.441647,-0.392874,-0.000000973,0,0,-0.386177
1095066.593687,-0.393210,-0.000003447,0,0,-0.386577
1097566.745728,-0.393164,0.000000708,0,0,-0.386978
1100066.897768,-0.393515,0.000004088,0,0,-0.387379
1102567.049808,-0.393042,-0.000001898,0,0,-0.387780
1105067.201849,-0.393302,-0.000004636,0,0,-0.388180
1107567.353889,-0.395590,0.000005000,0,0,-0.388581
1110067.505930,-0.396094,0.000004782,0,0,-0.388982
1112567.657970,-0.395590,-0.000001353,0,0,-0.389383
1115067.810010,-0.395560,0.000000093,0,0,-0.389784
1117567.962051,-0.396216,0.000002141,0,0,-0.390184
1120068.114091,-0.395316,0.000000885,0,0,-0.390585
1122568.266131,-0.398093,-0.000001681,0,0,-0.390986
1125068.418172,-0.398001,-0.000000196,0,0,-0.391387
1127568.570212,-0.398703,0.000004130,0,0,-0.391788
1130068.722253,-0.397635,0.000000409,0,0,-0.392188
1132568.874293,-0.397986,-0.000002071,0,0,-0.392589
1135069.026333,-0.398062,-0.000000488,0,0,-0.392990
1137569.178374,-0.400442,0.000001922,0,0,-0.393391
1140069.330414,-0.400442,0.000000109,0,0,-0.393791
1142569.482455,-0.401099,0.000002585,0,0,-0.394192
1145069.634495,-0.400595,-0.000001966,0,0,-0.394593
1147569.786535,-0.400290,-0.000003040,0,0,-0.394994
1150069.938576,-0.400061,0.000000562,0,0,-0.395395
1152570.090616,-0.402915,0.000004794,0,0,-0.395795
1155070.242656,-0.402778,-0.000001049,0,0,-0.396196
1157570.394697,-0.402594,-0.000003720,0,0,-0.396597
1160070.546737,-0.402808,0.000000632,0,0,-0.396998
1162570.698778,-0.403434,0.000004392,0,0,-0.397399
1165070.850818,-0.402823,-0.000001957,0,0,-0.397799
1167571.002858,-0.404623,-0.000004605,0,0,-0.398200
1170071.154899,-0.405753,0.000005000,0,0,-0.398601
1172571.306939,-0.405844,0.000004784,0,0,-0.399002
1175071.458980,-0.405249,-0.000001378,0,0,-0.399402
1177571.611020,-0.404914,0.000000124,0,0,-0.399803
1180071.763060,-0.405799,0.000002156,0,0,-0.400204
1182571.915101,-0.407218,0.000000780,0,0,-0.400605
1185072.067141,-0.407843,-0.000001779,0,0,-0.401006
1187572.219181,-0.407538,-0.000000228,0,0,-0.401406
1190072.371222,-0.408408,0.000004216,0,0,-0.401807
1192572.523262,-0.407584,0.000000390,0,0,-0.402208
1195072.675303,-0.407874,-0.000002076,0,0,-0.402609
1197572.827343,-0.410010,-0.000000535,0,0,-0.403010
1200072.979383,-0.410743,0.000002266,0,0,-0.403410
